#SampleID	Metaphlan2_Analysis
	44
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__RVW-14|g__GWF2-37-49|s__	1
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__RVW-14|g__UASB124	1
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__RVW-14|g__UASB124|s__	1
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__Vermiphilaceae	31
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__Vermiphilaceae|g__	21
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__Vermiphilaceae|g__|s__	21
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__Vermiphilaceae|g__SOIL31	10
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__Vermiphilaceae|g__SOIL31|s__	10
d__Bacteria|p__Desulfobacterota	1010
d__Bacteria|p__Desulfobacterota_B	303
d__Bacteria|p__Desulfobacterota_B|c__Binatia	240
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__	3
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__|f__	3
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__|f__|g__	3
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__|f__|g__|s__	3
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales	115
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales|f__Binataceae	115
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales|f__Binataceae|g__	50
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales|f__Binataceae|g__|s__	50
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales|f__Binataceae|g__Binatus	65
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales|f__Binataceae|g__Binatus|s__	32
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales|f__Binataceae|g__Binatus|s__Binatus soli	15
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales|f__Binataceae|g__Binatus|s__Binatus sp003135135	18
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__HRBIN30	12
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__HRBIN30|f__	11
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__HRBIN30|f__|g__	11
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__HRBIN30|f__|g__|s__	11
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__HRBIN30|f__HRBIN30	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__HRBIN30|f__HRBIN30|g__	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__HRBIN30|f__HRBIN30|g__|s__	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA1149	6
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA1149|f__UBA1149	6
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA1149|f__UBA1149|g__	6
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA1149|f__UBA1149|g__|s__	6
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA12015	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA12015|f__	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA12015|f__|g__	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA12015|f__|g__|s__	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968	87
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__	4
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__|g__	4
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__|g__|s__	4
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__UBA9968	83
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__UBA9968|g__	47
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__UBA9968|g__|s__	47
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__UBA9968|g__DP-1	4
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__UBA9968|g__DP-1|s__	4
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__UBA9968|g__DP-20	28
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__UBA9968|g__DP-20|s__	26
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__UBA9968|g__DP-20|s__DP-20 sp005879255	2
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__UBA9968|g__DP-36	3
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__UBA9968|g__DP-36|s__	3
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__UBA9968|g__WHTF01	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UBA9968|f__UBA9968|g__WHTF01|s__	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UTPRO1	16
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UTPRO1|f__	4
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UTPRO1|f__|g__	4
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UTPRO1|f__|g__|s__	4
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UTPRO1|f__DP-6	11
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UTPRO1|f__DP-6|g__	8
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UTPRO1|f__DP-6|g__|s__	8
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UTPRO1|f__DP-6|g__DP-6	3
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UTPRO1|f__DP-6|g__DP-6|s__	3
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UTPRO1|f__UTPRO1	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UTPRO1|f__UTPRO1|g__DP-19	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__UTPRO1|f__UTPRO1|g__DP-19|s__	1
d__Bacteria|p__Desulfobacterota_B|c__Syntrophorhabdia	63
d__Bacteria|p__Desulfobacterota_B|c__Syntrophorhabdia|o__Syntrophorhabdales	63
d__Bacteria|p__Desulfobacterota_B|c__Syntrophorhabdia|o__Syntrophorhabdales|f__	29
d__Bacteria|p__Desulfobacterota_B|c__Syntrophorhabdia|o__Syntrophorhabdales|f__|g__	29
d__Bacteria|p__Desulfobacterota_B|c__Syntrophorhabdia|o__Syntrophorhabdales|f__|g__|s__	29
d__Bacteria|p__Desulfobacterota_B|c__Syntrophorhabdia|o__Syntrophorhabdales|f__Syntrophorhabdaceae	5
d__Bacteria|p__Desulfobacterota_B|c__Syntrophorhabdia|o__Syntrophorhabdales|f__Syntrophorhabdaceae|g__	5
d__Bacteria|p__Desulfobacterota_B|c__Syntrophorhabdia|o__Syntrophorhabdales|f__Syntrophorhabdaceae|g__|s__	5
d__Bacteria|p__Desulfobacterota_B|c__Syntrophorhabdia|o__Syntrophorhabdales|f__WCHB1-27	29
d__Bacteria|p__Desulfobacterota_B|c__Syntrophorhabdia|o__Syntrophorhabdales|f__WCHB1-27|g__	29
d__Bacteria|p__Desulfobacterota_B|c__Syntrophorhabdia|o__Syntrophorhabdales|f__WCHB1-27|g__|s__	29
d__Bacteria|p__Desulfobacterota_D	16
d__Bacteria|p__Desulfobacterota_D|c__UBA1144	16
d__Bacteria|p__Desulfobacterota_D|c__UBA1144|o__UBA2774	16
d__Bacteria|p__Desulfobacterota_D|c__UBA1144|o__UBA2774|f__	12
d__Bacteria|p__Desulfobacterota_D|c__UBA1144|o__UBA2774|f__|g__	12
d__Bacteria|p__Desulfobacterota_D|c__UBA1144|o__UBA2774|f__|g__|s__	12
d__Bacteria|p__Desulfobacterota_D|c__UBA1144|o__UBA2774|f__CSP1-2	2
d__Bacteria|p__Desulfobacterota_D|c__UBA1144|o__UBA2774|f__CSP1-2|g__	2
d__Bacteria|p__Desulfobacterota_D|c__UBA1144|o__UBA2774|f__CSP1-2|g__|s__	2
d__Bacteria|p__Desulfobacterota_D|c__UBA1144|o__UBA2774|f__UBA2774	2
d__Bacteria|p__Desulfobacterota_D|c__UBA1144|o__UBA2774|f__UBA2774|g__2-12-FULL-53-21	2
d__Bacteria|p__Desulfobacterota_D|c__UBA1144|o__UBA2774|f__UBA2774|g__2-12-FULL-53-21|s__	2
d__Bacteria|p__Desulfobacterota|c__	3
d__Bacteria|p__Desulfobacterota|c__|o__	3
d__Bacteria|p__Desulfobacterota|c__|o__|f__	3
d__Bacteria|p__Desulfobacterota|c__|o__|f__|g__	3
d__Bacteria|p__Desulfobacterota|c__|o__|f__|g__|s__	3
d__Bacteria|p__Desulfobacterota|c__BSN033	164
d__Bacteria|p__Desulfobacterota|c__BSN033|o__	1
d__Bacteria|p__Desulfobacterota|c__BSN033|o__|f__	1
d__Bacteria|p__Desulfobacterota|c__BSN033|o__|f__|g__	1
d__Bacteria|p__Desulfobacterota|c__BSN033|o__|f__|g__|s__	1
d__Bacteria|p__Desulfobacterota|c__BSN033|o__B13-G15	25
d__Bacteria|p__Desulfobacterota|c__BSN033|o__B13-G15|f__RBG-16-54-18	25
d__Bacteria|p__Desulfobacterota|c__BSN033|o__B13-G15|f__RBG-16-54-18|g__	12
d__Bacteria|p__Desulfobacterota|c__BSN033|o__B13-G15|f__RBG-16-54-18|g__|s__	12
d__Bacteria|p__Desulfobacterota|c__BSN033|o__B13-G15|f__RBG-16-54-18|g__RBG-13-52-11	3
d__Bacteria|p__Desulfobacterota|c__BSN033|o__B13-G15|f__RBG-16-54-18|g__RBG-13-52-11|s__	3
d__Bacteria|p__Desulfobacterota|c__BSN033|o__B13-G15|f__RBG-16-54-18|g__RBG-16-54-11	9
d__Bacteria|p__Desulfobacterota|c__BSN033|o__B13-G15|f__RBG-16-54-18|g__RBG-16-54-11|s__	9
d__Bacteria|p__Desulfobacterota|c__BSN033|o__B13-G15|f__RBG-16-54-18|g__RBG-16-54-18	1
d__Bacteria|p__Desulfobacterota|c__BSN033|o__B13-G15|f__RBG-16-54-18|g__RBG-16-54-18|s__	1
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033	96
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033|f__	9
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033|f__|g__	9
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033|f__|g__|s__	9
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033|f__RBG-16-54-18	1
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033|f__RBG-16-54-18|g__RBG-16-54-11	1
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033|f__RBG-16-54-18|g__RBG-16-54-11|s__	1
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033|f__UBA1163	86
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033|f__UBA1163|g__	5
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033|f__UBA1163|g__|s__	5
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033|f__UBA1163|g__UBA1163	81
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033|f__UBA1163|g__UBA1163|s__	52
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033|f__UBA1163|g__UBA1163|s__GCA_002311635.1	19
d__Bacteria|p__Desulfobacterota|c__BSN033|o__BSN033|f__UBA1163|g__UBA1163|s__UBA1163 sp002311635	10
d__Bacteria|p__Desulfobacterota|c__BSN033|o__SM23-61	41
d__Bacteria|p__Desulfobacterota|c__BSN033|o__SM23-61|f__SM23-61	41
d__Bacteria|p__Desulfobacterota|c__BSN033|o__SM23-61|f__SM23-61|g__	22
d__Bacteria|p__Desulfobacterota|c__BSN033|o__SM23-61|f__SM23-61|g__|s__	22
d__Bacteria|p__Desulfobacterota|c__BSN033|o__SM23-61|f__SM23-61|g__SM23-61	19
d__Bacteria|p__Desulfobacterota|c__BSN033|o__SM23-61|f__SM23-61|g__SM23-61|s__	19
d__Bacteria|p__Desulfobacterota|c__BSN033|o__UBA8473	1
d__Bacteria|p__Desulfobacterota|c__BSN033|o__UBA8473|f__	1
d__Bacteria|p__Desulfobacterota|c__BSN033|o__UBA8473|f__|g__	1
d__Bacteria|p__Desulfobacterota|c__BSN033|o__UBA8473|f__|g__|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfarculia	4
d__Bacteria|p__Desulfobacterota|c__Desulfarculia|o__	1
d__Bacteria|p__Desulfobacterota|c__Desulfarculia|o__|f__	1
d__Bacteria|p__Desulfobacterota|c__Desulfarculia|o__|f__|g__	1
d__Bacteria|p__Desulfobacterota|c__Desulfarculia|o__|f__|g__|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfarculia|o__Desulfarculales	3
d__Bacteria|p__Desulfobacterota|c__Desulfarculia|o__Desulfarculales|f__	1
d__Bacteria|p__Desulfobacterota|c__Desulfarculia|o__Desulfarculales|f__|g__	1
d__Bacteria|p__Desulfobacterota|c__Desulfarculia|o__Desulfarculales|f__|g__|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfarculia|o__Desulfarculales|f__Desulfarculaceae	2
d__Bacteria|p__Desulfobacterota|c__Desulfarculia|o__Desulfarculales|f__Desulfarculaceae|g__Desulfocarbo	1
d__Bacteria|p__Desulfobacterota|c__Desulfarculia|o__Desulfarculales|f__Desulfarculaceae|g__Desulfocarbo|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfarculia|o__Desulfarculales|f__Desulfarculaceae|g__SURF-10	1
d__Bacteria|p__Desulfobacterota|c__Desulfarculia|o__Desulfarculales|f__Desulfarculaceae|g__SURF-10|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia	112
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__|f__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__|f__|g__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__|f__|g__|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__Desulfobaccales	109
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__Desulfobaccales|f__0-14-0-80-60-11	109
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__Desulfobaccales|f__0-14-0-80-60-11|g__	13
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__Desulfobaccales|f__0-14-0-80-60-11|g__|s__	13
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__Desulfobaccales|f__0-14-0-80-60-11|g__0-14-0-80-60-11	96
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__Desulfobaccales|f__0-14-0-80-60-11|g__0-14-0-80-60-11|s__	96
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__RBG-13-43-22	2
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__RBG-13-43-22|f__RBG-13-43-22	2
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__RBG-13-43-22|f__RBG-13-43-22|g__RBG-13-43-22	2
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__RBG-13-43-22|f__RBG-13-43-22|g__RBG-13-43-22|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobaccia|o__RBG-13-43-22|f__RBG-13-43-22|g__RBG-13-43-22|s__GCA_001797675.1	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria	197
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__|f__	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__|f__|g__	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__|f__|g__|s__	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__C00003060	9
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__C00003060|f__C00003060	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__C00003060|f__C00003060|g__	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__C00003060|f__C00003060|g__|s__	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__C00003060|f__S7086C20	7
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__C00003060|f__S7086C20|g__	7
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__C00003060|f__S7086C20|g__|s__	7
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglanales	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglanales|f__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglanales|f__|g__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglanales|f__|g__|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglanales|f__HGW-15	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglanales|f__HGW-15|g__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglanales|f__HGW-15|g__|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales	98
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__	41
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__|g__	41
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__|g__|s__	41
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__B111-G9	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__B111-G9|g__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__B111-G9|g__|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__B17-G16	5
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__B17-G16|g__B46-G9	5
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__B17-G16|g__B46-G9|s__	5
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__B25-G16	20
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__B25-G16|g__	6
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__B25-G16|g__|s__	6
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__B25-G16|g__B25-G16	3
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__B25-G16|g__B25-G16|s__	3
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__B25-G16|g__B33-G16	11
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__B25-G16|g__B33-G16|s__	11
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__HGW-15	25
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__HGW-15|g__	25
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__HGW-15|g__|s__	25
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__NaphS2	6
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__NaphS2|g__	5
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__NaphS2|g__|s__	5
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__NaphS2|g__4484-190-2	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfatiglandales|f__NaphS2|g__4484-190-2|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales	86
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__	26
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__|g__	26
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__|g__|s__	26
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__B30-G6	5
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__B30-G6|g__	5
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__B30-G6|g__|s__	5
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__BuS5	23
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__BuS5|g__	14
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__BuS5|g__|s__	14
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__BuS5|g__S5133MH16	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__BuS5|g__S5133MH16|s__	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__BuS5|g__UBA11574	7
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__BuS5|g__UBA11574|s__	7
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae	11
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__	6
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__|s__	6
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Desulfatitalea	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Desulfatitalea|s__	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Desulfosarcina	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Desulfosarcina|s__	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__UBA2230	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__UBA2230|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__ETH-SRB1	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__ETH-SRB1|g__B13-G4	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__ETH-SRB1|g__B13-G4|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__SG8-13	9
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__SG8-13|g__	9
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__SG8-13|g__|s__	9
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__SURF-15	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__SURF-15|g__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__SURF-15|g__|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA2156	5
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA2156|g__	5
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA2156|g__|s__	5
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA2174	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA2174_A	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA2174_A|g__SpSt-501	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA2174_A|g__SpSt-501|s__	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA2174|g__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA2174|g__|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA5852	2
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA5852|g__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA5852|g__|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA5852|g__UBA5852	1
d__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__UBA5852|g__UBA5852|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia	38
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales	38
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__	2
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__|g__	2
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__|g__|s__	2
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__BM004	16
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__BM004|g__	4
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__BM004|g__|s__	4
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__BM004|g__BM004	12
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__BM004|g__BM004|s__	7
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__BM004|g__BM004|s__BM004 sp002868955	5
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae	3
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae|g__Desulfobulbus	3
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae|g__Desulfobulbus|s__	3
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae	8
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae|g__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae|g__|s__	1
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae|g__Desulfofustis	4
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae|g__Desulfofustis|s__	4
d__Bacteria|p__Desulfobacterota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae|g__Desulforhopalus	3
